id,inr_unit_low,inr_unit_high,qty,inr_ext_low,inr_ext_high,as_of,source_note
COMP-001,10000,17000,1,0,0,2026-09-04,owned; replacement CrazyPi-class
COMP-002,9650,11750,1,0,0,2026-09-04,owned; e2u/fron/robu-class
COMP-003,400,800,1,400,800,2026-09-04,estimate
COMP-004,500,900,1,500,900,2026-09-04,estimate
COMP-005,800,1500,1,800,1500,2026-09-04,estimate
CAM-001,3050,3200,1,3050,3200,2026-09-04,ElectroPi/Thingbits Camera Module 3
AUD-001,200,800,1,200,800,2026-09-04,estimate USB mic
AUD-002,300,1000,1,300,1000,2026-09-04,optional
MCU-001,400,1200,1,0,0,2026-09-04,owned
MCU-002,500,1000,1,500,1000,2026-09-04,ESP32-S3 DevKit India
MCU-003,3400,4000,1,3400,4000,2026-09-04,optional Teensy 4.1 Robocraze
DRV-001,200,450,1,0,0,2026-09-04,owned
SRV-001,250,450,12,0,0,2026-09-04,owned
SRV-002,1800,2900,12,21600,34800,2026-09-04,rejected including clones ~INR 2000
ACT-001,550,1200,12,6600,14400,2026-09-04,rejected for walking
IMU-001,1500,2000,1,1500,2000,2026-09-04,BNO055 frozen
IMU-002,150,200,1,150,200,2026-09-04,optional MPU-6050 spare
CUR-001,80,235,1,80,235,2026-09-04,ACS712 30A
PWR-001,6000,6500,1,0,0,2026-09-04,deferred Hobbywing 30606000; ATX 5V bench
LVL-001,50,150,1,50,150,2026-09-04,I2C level shifter
PWR-002,1500,3000,1,1500,3000,2026-09-04,deferred pack
PWR-003,400,1200,1,400,1200,2026-09-04,deferred
PWR-004,400,900,1,400,900,2026-09-04,e-stop+relay+ATO on ATX 5V
PWR-005,0,0,1,0,0,2026-09-04,owned ATX PSU
PWR-006,200,500,1,200,500,2026-09-04,ATX 5V distribution kit
CBL-001,50,200,1,50,200,2026-09-04,estimate
CBL-002,100,400,1,100,400,2026-09-04,if not in camera kit
MECH-001,800,2500,1,800,2500,2026-09-04,filament TBD
